DEPTH,TVDSS,GR,RT,NPHI,RHOB,VCALCITE,VQUARTZ,VSH,VCOAL,VORGSH,VGAS,VOIL,VWATER,PHIT,PHIE,SWE,PERM,LITHO,FLUID,Wells
3254.5,3031.7741,72.1331,60467.7578,0.4341,2.0099,0.99999,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,1.0,0.0,2.0,,SH-15
3255.0,3032.2482,73.9001,69.6521,0.4041,2.0788,0.99999,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,1.0,0.0,2.0,,SH-15
3255.5,3032.7222,73.6248,60467.7578,0.4036,2.1448,0.99999,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,1.0,0.0,2.0,,SH-15
3256.0,3033.1962,70.0092,60467.7578,0.436,2.1685,0.99999,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,1.0,0.0,2.0,,SH-15
3256.5,3033.6703,70.5535,60467.7578,0.4639,2.1558,0.99999,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,1.0,0.0,2.0,,SH-15
3257.0,3034.1442,71.2568,60467.7578,0.4874,2.1128,0.99999,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,1.0,0.0,2.0,,SH-15
3257.5,3034.6182,75.3113,60467.7578,0.5145,2.0454,0.0,0.151104,0.5884,0.0,0.0,0.0,0.259629,0.000853,0.260482,0.125101,0.0033,0.153,6.0,,SH-15
3258.0,3035.0922,81.692,60467.7578,0.5428,1.9684,0.0,0.061586,0.6482,0.0,0.0,0.008683,0.280688,0.000796,0.290167,0.103606,0.0027,0.0467,6.0,,SH-15
3258.5,3035.5661,77.6605,60467.7578,0.5545,1.9083,0.0,0.061523,0.6159,0.0,0.0,0.015502,0.30624,0.000863,0.322605,0.11515,0.0027,0.0908,6.0,,SH-15
3259.0,3036.04,77.547,60467.7578,0.5333,1.9051,0.0,0.066729,0.6143,0.0,0.0,0.027921,0.290199,0.000859,0.31898,0.115717,0.0027,0.0937,6.0,,SH-15
3259.5,3036.5139,78.6637,60467.7578,0.5096,1.9442,0.0,0.082272,0.6213,0.0,0.0,0.030061,0.265582,0.00082,0.296463,0.11321,0.0028,0.0816,6.0,,SH-15
3260.0,3036.9877,81.9566,60467.7578,0.5091,1.9774,0.0,0.073004,0.6489,0.0,0.0,0.024959,0.252358,0.000776,0.278092,0.103368,0.0028,0.0461,6.0,,SH-15
3260.5,3037.4616,84.3586,60467.7578,0.5126,2.0025,0.0,0.065469,0.6692,0.0,0.0,0.018627,0.245995,0.000744,0.265365,0.09625,0.0028,0.0294,6.0,,SH-15
3261.0,3037.9354,90.3125,60467.7578,0.5006,2.0278,0.0,0.036948,0.7207,0.0,0.0,0.027688,0.214024,0.000681,0.242393,0.078564,0.0028,0.0082,6.0,,SH-15
3261.5,3038.4092,91.3823,60467.7578,0.5058,2.0469,0.0,0.035826,0.7294,0.0,0.0,0.019788,0.214332,0.000663,0.234784,0.075625,0.0028,0.0064,6.0,,SH-15
3262.0,3038.883,89.2075,60467.7578,0.523,2.0488,0.0,0.047299,0.7104,0.0,0.0,0.005181,0.236388,0.000684,0.242253,0.08202,0.0028,0.0107,6.0,,SH-15
3262.5,3039.3567,88.4798,60467.7578,0.5274,2.0309,0.0,0.043662,0.7051,0.0,0.0,0.007641,0.242926,0.000703,0.251269,0.08385,0.0028,0.0123,6.0,,SH-15
3263.0,3039.8304,85.9556,60467.7578,0.5289,1.9975,0.0,0.047164,0.6843,0.0,0.0,0.013907,0.253842,0.000742,0.268491,0.090968,0.0028,0.0206,6.0,,SH-15
3263.5,3040.3042,88.1137,60467.7578,0.5256,1.9824,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,,SH-15
3264.0,3040.7778,89.4297,60467.7578,0.5265,2.0004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,,SH-15
3264.5,3041.2515,91.0663,60467.7578,0.5478,2.0085,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,,SH-15
3265.0,3041.7252,91.2776,60467.7578,0.5596,1.9604,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,,SH-15
3265.5,3042.1988,90.6676,60467.7578,0.55,1.888,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,,SH-15
3266.0,3042.6724,88.3047,60467.7578,0.5513,1.8556,0.0,0.0,0.6794,0.0,0.0,0.060219,0.260364,0.0,0.320583,0.092666,0.0026,0.0232,6.0,,SH-15
3266.5,3043.146,86.6288,3507.772,0.5663,1.8543,0.0,0.0,0.6713,0.0,0.0,0.047368,0.278844,0.002526,0.328738,0.0955,0.0106,0.028,6.0,,SH-15
3267.0,3043.6195,82.0329,4646.7427,0.5848,1.8221,0.0,0.0,0.6455,0.0,0.0,0.037063,0.314775,0.002621,0.354459,0.104534,0.0091,0.0494,6.0,,SH-15
3267.5,3044.0931,73.5212,60467.7578,0.5943,1.7575,0.0,0.014619,0.5887,0.0,0.0,0.035956,0.359794,0.000978,0.396728,0.124974,0.0025,0.152,6.0,,SH-15
3268.0,3044.5666,74.4434,39824.293,0.5728,1.7223,0.0,0.0,0.5963,0.0,0.0,0.060232,0.342397,0.001117,0.403746,0.122206,0.003,0.132,6.0,,SH-15
3268.5,3045.0401,70.729,28.5178,0.5419,1.733,0.0,0.032517,0.5639,0.0,0.0,0.068408,0.288977,0.046173,0.403558,0.134039,0.1144,0.2362,6.0,,SH-15
