iter	Passed	Remaining
729	69357	25652
730	69455	25558
731	69534	25458
732	69637	25365
733	69745	25275
734	69833	25178
735	69930	25083
736	70020	24986
737	70120	24893
738	70203	24794
739	70296	24698
740	70385	24601
741	70479	24506
742	70570	24410
743	70661	24313
744	70751	24216
745	70849	24123
746	70945	24028
747	71032	23930
748	71135	23838
749	71216	23738
750	71307	23642
751	71412	23550
752	71502	23454
753	71603	23361
754	71703	23268
755	71785	23168
756	71880	23073
757	71969	22976
758	72075	22885
759	72161	22787
760	72256	22692
761	72364	22602
762	72450	22504
763	72539	22407
764	72625	22309
765	72722	22215
766	72820	22121
767	72910	22025
768	72995	21927
769	73092	21832
770	73179	21735
771	73279	21642
772	73369	21545
773	73463	21450
774	73567	21358
775	73667	21264
776	73759	21169
777	73862	21076
778	73971	20985
779	74066	20890
780	74178	20800
781	74289	20709
782	74399	20618
783	74511	20528
784	74623	20438
785	74728	20345
786	74819	20249
787	74928	20158
788	75029	20064
789	75122	19969
790	75208	19871
791	75302	19776
792	75395	19680
793	75492	19586
794	75581	19489
795	75687	19397
796	75772	19299
797	75866	19204
798	75977	19113
799	76078	19019
800	76177	18925
801	76277	18831
802	76374	18737
803	76465	18640
804	76550	18543
805	76644	18447
806	76756	18356
807	76861	18264
808	76952	18168
809	77048	18073
810	77156	17980
811	77248	17885
812	77344	17790
813	77450	17697
814	77544	17602
815	77637	17506
816	77736	17412
817	77817	17313
818	77915	17219
819	78021	17126
820	78113	17030
821	78212	16936
822	78319	16843
823	78425	16751
824	78529	16657
825	78624	16562
826	78723	16468
827	78823	16373
828	78913	16277
829	79005	16181
830	79098	16086
831	79176	15987
832	79260	15890
833	79354	15794
834	79432	15696
835	79523	15600
836	79616	15504
837	79710	15409
838	79823	15317
839	79923	15223
840	80029	15130
841	80118	15034
842	80209	14938
843	80302	14842
844	80391	14746
845	80490	14651
846	80580	14555
847	80675	14460
848	80775	14366
849	80868	14270
850	80979	14178
851	81062	14081
852	81162	13986
853	81261	13892
854	81340	13794
855	81424	13697
856	81526	13603
857	81620	13508
858	81707	13411
859	81790	13314
860	81883	13219
861	81973	13123
862	82065	13027
863	82160	12932
864	82242	12835
865	82330	12739
866	82434	12645
867	82534	12551
868	82630	12456
869	82709	12358
870	82796	12262
871	82895	12168
872	82979	12071
873	83078	11977
874	83169	11881
875	83249	11784
876	83347	11689
877	83441	11594
878	83547	11500
879	83626	11403
880	83726	11309
881	83811	11212
882	83904	11117
883	84005	11023
884	84106	10929
885	84198	10833
886	84310	10740
887	84404	10645
888	84515	10552
889	84605	10456
890	84698	10361
891	84803	10267
892	84880	10170
893	84978	10075
894	85075	9980
895	85162	9884
896	85257	9789
897	85346	9694
898	85456	9600
899	85561	9506
900	85669	9413
901	85771	9318
902	85847	9221
903	85936	9125
904	86031	9030
905	86125	8935
906	86225	8841
907	86308	8744
908	86397	8649
909	86500	8554
910	86595	8459
911	86676	8363
912	86754	8266
913	86852	8172
914	86951	8077
915	87051	7982
916	87143	7887
917	87245	7793
918	87330	7697
919	87426	7602
920	87534	7508
921	87623	7412
922	87709	7317
923	87806	7222
924	87917	7128
925	88009	7033
926	88105	6938
927	88190	6842
928	88288	6747
929	88370	6651
930	88471	6556
931	88550	6460
932	88654	6366
933	88757	6271
934	88847	6176
935	88927	6080
936	89016	5985
937	89122	5890
938	89204	5794
939	89302	5700
940	89416	5606
941	89526	5512
942	89617	5416
943	89715	5322
944	89815	5227
945	89917	5132
946	90021	5038
947	90106	4942
948	90186	4846
949	90289	4752
950	90385	4657
951	90490	4562
952	90578	4467
953	90677	4372
954	90779	4277
955	90878	4182
956	90979	4087
957	91079	3993
958	91173	3897
959	91266	3802
960	91367	3707
961	91470	3613
962	91565	3518
963	91670	3423
964	91772	3328
965	91867	3233
966	91965	3138
967	92050	3042
968	92138	2947
969	92246	2852
970	92339	2757
971	92434	2662
972	92544	2568
973	92648	2473
974	92751	2378
975	92845	2283
976	92939	2187
977	93036	2092
978	93118	1997
979	93201	1902
980	93292	1806
981	93392	1711
982	93489	1616
983	93583	1521
984	93667	1426
985	93747	1331
986	93849	1236
987	93936	1140
988	94022	1045
989	94124	950
990	94214	855
991	94321	760
992	94426	665
993	94521	570
994	94625	475
995	94716	380
996	94803	285
997	94879	190
998	94980	95
999	95083	0
